,Тип,Назначение,Материал,Мотор,Частота переключения,Рабочее напряжение,Шаг регулировки,Ёмкость аккумулятора,Время подзарядки,Время работы,Разъем для зарядки,Ход толкателя,Ход иглы,Длина,Диаметр,Вес,Гарантия,Производитель,Название,Цена,Ссылка,Фотография,Модель,Вольтаж,Ход толкателя (Stroke),Вылет иглы,Время зарядки,Тип аккумулятора,Память,Функция Jump-start,Таймер,Дисплей,Выходное напряжение,Шаг регулировки вольтажа,Емкость аккумулятора,Jump Start,Разъём для подключения,Размер,Производcтво,Назначение машинки,Обороты в минуту,Разъём для зарядки,Размеры с аккумулятором,Размеры с RCA переходником,Производство,Двигатель,Скорость,Рекомендуемое напряжение,Время работы на одном аккумуляторе,Размер машинки без аккумулятора,Размер машинки с аккумулятором,Вес без аккумулятора,Вес с аккумулятором,Частота,SMP,Вес машинки,Вес коробки,Размеры коробки,Подключение,Размеры,Цвет,Ход толкателя регулируемый,Bluetooth,Рабочий вольтаж,Длина хода,Вес батареи,Цвет машинки,Особенность,Jump-Start,Разъем для подключения,Высота,Разъём,Ход бойка,Материал рамы,Ход толкателя (Strokes),Назначения,Рабочая частота удара,Обороты,Диаметр x Длинна,Диаметр x Длина,Соединение,Разъем,Емкость,Модель машины,Потребляемая мощность,Диаметр держателей,Размер коробки,Ход поршня,Рабочая частота,Диаметр держателя,Ход толкателя (Strokes) регулируемый,Диаметр ручки,Длина ручки,Для контурных работ,Для закраса/теней,Крутящий момент,Время полной зарядки,Длина машинки,Размер кейса,Вес кейса,Номинальный крутящий момент,Стартовое напряжение по умолчанию,Количество уровней регулировки вольтажа,Ёмкость аккумуляторов,Вес машинки с батареей,Батареи,Частота удара,Длина машинки с RCA адаптером,Вес машинки с RCA адаптером,Регулировка вольтажа с шагом,Время работы на 1 батарейке,Вес с батарейкой,Время работы на 1 аккумуляторе,Длинна,Строк,Корпус,Покрытие рамы,Модель машинки,Вход для зарядки,Тип батареи,Номинальная емкость аккумулятора,Вес без батарейки,Мощность мотора,"Спроектировано в США.

В комплекте",Система привода,Вылет иглы в зависимости от картриджей,Размер машинки,Регулировка с шагом,Значение в децибелах,Значение вибрации,Размер двигателя,Мощность двигателя,Длина хода (Strokes),Система двойного управления,Ход толкателя Strokes регулируемый,Мощность,Экран,Время работы на аккумуляторе,Регулируемый ход толкателя,Вес вместе с коробкой,Держатели,Привод,Емкость батареек,Тип батарейки,Размер батарейки,Диаметр машинки,Вес машинки с батарейкой,Батарея,Емкость АКБ,Держатель,Ход толкателя регулируемый Strokes,Частота вращения,Макс обороты,Ход толкателя регулируемый (Stroke),Емкость блока питания,Jump-start,Длина с блоком,Длина с RCA,Вес машинки с блоком,Вес машинки с RCA,Напряжение зарядки,Ход толкателя (Stroke) регулируемый,Вес без батарейкой,Уникальность,Ход толкателя регулируемый (Strokes),Мощность Двигателя,Ход толкателя Strokes,Время зарядки от разъема,АКБ,Вес с кейсом,Рама,- Модель,Вес машинки без батарейки,Вес машинки батарейкой,Габариты коробки,Частотный режим,Точечный режим,Вес с держателем 32мм,Вес с держателем 40мм,Xод иглы,Пусковое напряжение,Размер машинки с RCA адаптером,Вес с RCA адаптером,Для контура,Для закраса,Xод толкателя,Разъём подключения,Ход,Рекомендованный рабочий вольтаж,Память режимов,Ход толкателя (строк),Ёмкость аккумуляторов машинки,Ёмкость аккумулятора педали,Время работы максимум (при 5В),Время работы минимум (при 11В),Длина машины вместе с аккумулятором,Особенности,Диапазон игл,Рекомендуемый вольтаж,Размеры машинки,Длина с RCA переходником,Вес с блоком,Вес с RCA переходником,Диаметр в нижней части,Диаметр в верхней части,Длина машинки с блоком,Ход толкателя Stroke,Входное напряжение,Режим зарядки,Цикл полной зарядки,Частота вращения двигателя,Напряжение батареи,Вес с аккумулятором,Об/мин,Частота переключателя,Шаг регулировки переключаемый,"минимальная вибрация.

Основные особенности",Шаг,Регулируемый ход игл,Короткий ход,Выходная мощность,Общее время работы,Длина (без картриджа),Диаметр корпуса,Вес (без держателя),Вес с держателем (PMU),Разъем для зарядки,Регулировка частоты ударов,Ёмкость аккумулятора машинки,Ход толкатея,Габариты,Вес машинки с аккумулятором,Ёмкость съёмных аккумуляторов по,Длинна с аккумулятором,Длинна с разъёмом RCA,Диаметр в нижней части ручки,Вес с разъёмом RCA,Размер коробкм,Длинна с переходником RCA,Длина с переходником RCA,Длина с аккумулятором,Вес машинки с держателем,Сменные эксцентрики с ходом,Moтор,Об / мин,Выступ иглы,Емкость батареи,Рабочее время Powerpack,Гарантия на блок питания,В комплекте,Вывод,Размеры (Ø х L),Время заряда батареи,Вес (с блоком питания),Время работы блока питания,Ручка,Она универсальна,К машинке подойдут держатели,Тип подключения,Рекомендуемое рабочее напряжение,Максимальное напряжение,Вес всего комплекта,Частота Переключения,Кол-во оборотов,Размеры (Ø X L),Время работы Powerpack,Размеры(Ø X L),Тип машинки,"Длина хода, мм","Диаметр, мм","Размер, мм","Мощность двигателя, В",Оборотов в минуту,"Децибелы, дБ","Величина вибрации, м/с²","Рабочий вольтаж, В","Регулировка вольтажа, В","Емкость аккумулятора, мАч","Время работы, часов","Время зарядки, часов","Вес, г","Вес с аккумулятором, г",Питание,Провод для зарядки в комплекте,RCA переходник,"Частота переключения, Гц","Регулировка хода иглы, мм",Процент зарядки,Показание вольтажа,Сетевой шнур в комплекте,"Сила тока, А",Времени работы,Комплектация,Функция памяти,Start UP,"Рекомендуемый вольтаж, В",Авто выключение,Push Mode,"Мощность, В","Напряжение зарядки, В",source
480,,,Авиационный алюминий,Японский двигатель без сердечника 9В/8000 об,,5 - 9 V,,,,,,"3,5 мм",,,,74 г,6 месяцев,,Роторная тату машинка Mast P15 Pen Machine Red,6470,https://tatu-shop.ru/products/mast-p15-pen-red,https://i.siteapi.org/M5iclEwCPIRoQIm-T73dw5s1-kE=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/av153jkomko448g04088kgkkwsgsoc,Mast P15,,,до 4 мм (регулировка вылета осуществляется выкручиванием держателя),,,,,,,,,,,,,DragonHawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RCA,,,,,,,,,,,,,,,,,,,,,,22 мм,94 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
481,Роторная,Перманентный макияж,авиационный алюминий,Швейцарский мотор 12W,,,,,,,,,"от 0 до 4,5 мм",,,90 г,,,Роторная тату машинка - Poseidon v2 mini pen black,5990,https://tatu-shop.ru/products/poseidon--v2--mini,https://i.siteapi.org/gehpMZNXkerCSQD5QfqXKPA9X1Y=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/neynu2t63pwoog48k8sg4gogogkkwk,Poseidon v2 mini pen,5 - 12V,,,,,,,,,,,,,,,,,,,,,Solong Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,122 мм,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
482,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,EZ Customized Swiss - 12V/10800 об/мин,,,"0,1V",1800 mA/ч,,до 5 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",142 мм,32 мм,197 г,6 месяцев,EZ TATTOO,Беспроводная тату машинка EZ Portex Generation P2S Pro x 2 Power Black,10480,https://tatu-shop.ru/products/ez-portex-p2s-pro-2-power,https://i.siteapi.org/Xds3jLLH8EtL3MEEdxnmYmS7D5s=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/jx1xrfijz808woogsw0kwo840kkgsw,,4-12 V,,,2 часа,полимерно-литиевый,,,,OLED Digital Display,,,,,,,,,,,,,,,,,,,,,,45 - 170 Hz,,,,,,,,,Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,5 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Функция памяти, авто-выключение",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
483,Роторная беспроводная,Универсальная,Авиационный алюминий,Coreless Motor 12V - 10000 об/мин,,,"0,1V",,,до 3 часов,USB Type—C,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,28 мм,,6 месяцев,DragonHawk - MAST Tattoo,Беспроводная тату машинка DragonHawk Elite Versatile X 2Power,14180,https://tatu-shop.ru/products/elite-2power,https://i.siteapi.org/v3_vA9TwODAFS1yMsB1GppVbnPc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/khd4ykz9a5cgw0scck4g88cck8840w,,4-12 V,"3,5 мм",,2 часа,,,,,,,,1000 mA/ч,,,,,,,,,,,,,,,,,,,,,176 гр,500 гр,185  x 135 x 45 мм,,,,,,,,,,,,,,,,,,,,,,,,,,DragonHawk Elite Versatile,,,,,,,,,,,,,,145 мм,,,,,,,,,,107 мм,155 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
484,,,авиационный алюминий,Япония 8V / 9000 об/мин,,5 - 8 В,,,,,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,82 г,6 месяцев,,Роторная тату машинка Mast Tour Mini Orange,5990,https://tatu-shop.ru/products/53542974,https://i.siteapi.org/DblrSypGEmsrte0mpxP3FU8Uqkk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/53fyba8d3dwk4wk44ccw0og840kgs8,,,,,,,,,,,,,,,,,DragonHawk,,,,,,,,,,,,,,,,,,,,разъем RCA,25 x 85 мм,Оранжевый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Ватт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
485,,,авиационный алюминий,,60 - 160 Гц,5 - 10V,"0,1V",500 mA/ч,,2-3 ч,,"2,7 мм",,158 мм,,"85,4 г",6 месяцев,,Беспроводная машинка для татуажа EZ LOLA AIR Wireless Battery Silver Black Power-Pink Gradient,10570,https://tatu-shop.ru/products/lola-air-silver--black,https://i.siteapi.org/NjH0PTL0UhLLo-y4WoM8Y9jJWVM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/89vgrmxttp8gwc8w44c44c8w4wogcc,EZ LOLA AIR,,,"0 - 3,5 мм","1,5 ч",,,,,,,,,,,,,,,,,,EZ Tattoo,EZ Customized Swiss Motor (Бессердечный двигатель),10800 об/мин ± 10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
486,Роторная беспроводная,Универсальная,авиационный алюминий,AVA Motor Metal Brush DC motor - 10500 об/мин,,,"при коротком нажатии 0,1V при длительном нажатии 1V",,,,,,до 5 мм (регулировка вылета осуществляется выкручиванием держателя),133 мм,,,6 месяцев,,Беспроводная тату машинка AVA GT Pen GTS Adjustable Stroke 2.0-4.5mm Black,19990,https://tatu-shop.ru/products/ava-gt-gts-black,https://i.siteapi.org/qJcOe7mp8dpquhOW__w2jDgO9t4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/lxknvxgnb1w80w8o40s4wgksskccs0,,"4,5-12 V",,,2 часа,,,,,"Цветной HD экран Curved Glass (1,48 дюйма)",,,,,,,AVA TATTOO MACHINE,,,,,,,,,,6-8 часов,,,,,,,,1400 гр,,,,,от 2,,,,,,Два режима работы,,,,,,,,,,,,,,,,AVA GT Pen GTS,5W,,255 x 220 x 105 мм,,,38 мм,,,,,,,,,,,,,,,,,,,,,,260 гр,,,,,,,,3,1600 мАч,225 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
487,Роторная беспроводная,Перманентный макияж,Авиационный алюминий,Mast Special Edition Coreless Motor 12V/12000 об,,,"0,5V",600 mA/ч,"1,5 часа",до 3 часов,,"3,0 мм",,144 мм,22 мм,93 г,6 месяцев,DragonHawk - Mast,Беспроводная машинка для татуажа Mast Crown P35 Permanent Makeup Pen Blue,9500,https://tatu-shop.ru/products/machine-mast-crown-permanent-makeup-blue,https://i.siteapi.org/p5oXtCeeQo7QNq6qunQKOUk3xjA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/e0fw58taldwg4wc40kkk4kg0w0o88c,Mast P35,"4,5-12V",,"0-3,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type—C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
488,Роторная беспроводная,,Авиационный алюминий с защитным покрытием,Швейцарский двигатель мощностью 6W,,,"0,1V",2000 mA/ч,2 часа,,,,,145 мм,33 мм,229 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC Bullet Wireless Pen Silver,12760,https://tatu-shop.ru/products/bronc-bullet--silver,https://i.siteapi.org/ehc5it_fFk1vixdV4VxbIQBvAVA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/o77b4pb6kpwws0gscwgkkooco00s8o,BRONC Bullet,5-11 V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,Универсальная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,около 5 часов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11V - 11000 об/мин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
489,Роторная,Перманентный макияж,авиационный алюминий,Германский двигатель 5W,,,,530mA/ч,до 1,,,,от 0 до 3,,15 мм,79 г,,,Роторная машинка для татуажа - Princesse Wireless Vega PMU,9850,https://tatu-shop.ru/products/princesse--wireless-vega-pmu,https://i.siteapi.org/b-AMiTrbrjic5UY8fpkDBrEgQaA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/croz5l3a91wsoskc0ks088sco8kcos,,,,,,,,,,,,,,,,,Princesse Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142 мм,,,,,,,,,,,,,,,,,"2,1 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
490,,,,,,,,,,,,,,,,,,,Роторная тату машинка Metis APR 3 АМАКС PEN x 2 Holders,17450,https://tatu-shop.ru/products/metis--apr3-2-holders,https://i.siteapi.org/a4Y1DrrP5e008ZSt5ca9sh2HBV8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/d1fj47f8aa88wccgwkgcso044cs8s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
491,,,,,,,,,,,,,,,,,,,Беспроводная тату машинка Mast Archer Ultra Smart Stroke 4.5mm,42630,https://tatu-shop.ru/products/archer-ultra-smart,https://i.siteapi.org/VW3gEK3IlykEB-lmGJp_tCSDY6k=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/4amevzxmrzsw08c44woggk4gcok0ks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
492,Роторная беспроводная,Универсальная,авиационный алюминий,Germany Formula Prcious Metal Brush DC Motor (5W) 12000 rpm,,,"при коротком нажатии 0,1V при длительном нажатии 1V",1900 мАч,,4-8 часов,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,32 мм,,6 месяцев,,Беспроводная тату машинка AVA GT EP8 Plus Wireless Pen 4.2mm Stroke Grey,10590,https://tatu-shop.ru/products/ava-ep8-plus-grey,https://i.siteapi.org/eeRKG3ft9BerUxc3c7pCWjLnaxQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/t6ab9pt9vxckg0s0kosg4k4gksg00o,,"4,2-12 V","4,2 мм",,3 часа,,,,,,,,,,,,AVA TATTOO MACHINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVA GT EP8 Plus,5V / 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 мм,200 г,146 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
493,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,Brushless motor - бесщеточный двигатель 12V/10000 об/мин,,,"0,1V",1500 mA/ч,,до 7 часов,USB Type—C,"3,5 мм","до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",122 мм,34 мм,166 г,6 месяцев,Mast - DragonHawk,Беспроводная тату машинка Mast A3 Wireless Pen,8990,https://tatu-shop.ru/products/wireless-tattoo-machine-mast-a3,https://i.siteapi.org/dAspSpnms4wVbZdMRgPOv2yS_zM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/kgzrqtagatc4swc4c4sokwoss4ggw,Mast A3,4-12 V,,,2 часа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
494,,,авиационный алюминий,,60 - 160 Гц,,"0,1V",580 mA/ч,,,,"2,5 мм",,132 мм,"18,5 мм",73г,6 месяцев,,Беспроводная машинка для перманентного макияжа INKin Polar PMU Black,8990,https://tatu-shop.ru/products/polar-pmu-black,https://i.siteapi.org/RK3RZhjhOo98wEThMftU1N3k6sY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/g9frtdk318g088csws8g08c8gsggwc,INKin Polar Pmu,5 - 10V,,"0 - 3,5 мм","1,5 ч",,,,,,,,,,,,,,,,,,INKin - EZ Tattoo,Japan motor,10000 об/мин ± 10%,6-8V,2-3 ч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
495,Роторная беспроводная,Универсальная,авиационный алюминий,AVA motor Metal Brush DC motor - 10500 об/мин,,,"при коротком нажатии 0,1V при длительном нажатии 1V",,,6-8 часов,,,до 5 мм (регулировка вылета осуществляется выкручиванием держателя),128 мм,,,6 месяцев,,Беспроводная тату машинка AVA UNi-B Adjustable stroke 2.5-4.5mm Black,15490,https://tatu-shop.ru/products/ava-uni-b-adjustable-black,https://i.siteapi.org/LjbMyz-mRgBeza7T0DtLI_kl7Xc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/3uohrg42ur0gwsckwok0kww8c0g44c,,"4,5-12 V",,,2 часа,,,,,Цветной OLED экран,,,,,,,AVA TATTOO MACHINE,,,,,,,,,,,,,,,,,,600 г,,,,,"от 2,5 мм до 4,5 мм",,,,,,,,,,,,,,,,,,,,,,AVA UNi-B,5 W,38 мм и 30 мм,185 x 155 x 70 мм,,,,,,,,,,,,,,,,,,,,,,,,,224 г,,,,,,,,3,1600 мАч,190 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
496,беспроводная роторная машинка,Универсальная,Алюминий,Ambition Custom Motors 10000 оборотов в минуту,,,,,,до 10 часов,USB Type—C,4,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",145 мм,,,6 месяцев,,Беспроводная тату машинка Ambition VIBE Gold,12790,https://tatu-shop.ru/products/vibe-gold,https://i.siteapi.org/dw7x6cILqPY1IvJjt5BR2geddWA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/q0njjsgtw4gksskcs8o4c4k80osss0,Ambition VIBE,"4,5-12V",,,,,,,,,,,,,,,,,,,,,Ambition Tattoo,,,,,,,,,,,185 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 мм,,,,,,,около 3 ч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
497,,Универсальная,Алюминий,Швейцарский двигатель 12000 об/мин,,5,,1200 mA/ч,2 часа,до 5 часов,USB Type—C,3,,135 мм,18-27 мм,137 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC MAGIC Wireless Pen Tattoo & PMU Black,13580,https://tatu-shop.ru/products/bronc--magic-black,https://i.siteapi.org/1sgfj1rcRphCpPwGGcVlWugkvTE=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/d7ljlxqsr2g4k4sk84wgwk0cwkw4o4,BRONC MAGIC wireless tattoo pen,,,от 0 до 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,18Нм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
